name,z,g_bar,g_obs,g_bar_err,g_obs_err
UGC07125,0.0,0.03246189706639504,0.07306621323626353,0.0034812758641311163,0.007835760310083114
UGC07151,0.0,0.18202766747186708,0.3420986272314853,0.015145084143984742,0.028463324102987103
UGC07232,0.0,0.2977897428196576,0.7650601457407963,0.04466846142294863,0.11475902186111944
UGC07261,0.0,0.10294266994824039,0.28135041358128454,0.015312891245914338,0.04185133615952879
UGC07323,0.0,0.2522196072274077,0.4079703705683354,0.02280583831705766,0.03688890967522098
UGC07399,0.0,0.08547283474598223,0.5939574503176477,0.008015094126179843,0.05569751939771149
UGC07524,0.0,0.08071746812758306,0.18918232374457933,0.005680874972017238,0.013314604050884318
UGC07559,0.0,0.06531132566044794,0.13197559294941583,0.013143649961573009,0.026559574157421377
UGC07577,0.0,0.04296389113653184,0.06075155215192106,0.015302869090202915,0.021638474193437052
UGC07603,0.0,0.05759388211103278,0.32294027024171634,0.005201447478152648,0.02916554315620501
UGC07608,0.0,0.05736271513678999,0.3255687041220032,0.011075225519917029,0.06285871949714868
UGC07690,0.0,0.11551486130443037,0.2451758233308592,0.017812846233348653,0.03780707687141335
UGC07866,0.0,0.06606002916396632,0.1530284153127584,0.016245578169023743,0.03763296980803183
UGC08286,0.0,0.05822489948185192,0.2864198934040104,0.002762747306374943,0.013590505025101325
UGC08490,0.0,0.030241452739050344,0.1922478442289826,0.0028760556857498907,0.018283364567137778
UGC08550,0.0,0.04402323081610741,0.19988259448061055,0.0030624856219900803,0.013904876137781602
UGC08699,0.0,0.1275379081127018,0.4222533797670413,0.010439988325291107,0.034564784857433216
UGC08837,0.0,0.09203303706446934,0.17776131839644477,0.011504129633058668,0.022220164799555596
UGC09037,0.0,0.173828092766539,0.26776517142812106,0.036595387950850315,0.05637161503749917
UGC09133,0.0,0.041919393416786375,0.15689405479207955,0.0015083659465254136,0.005645445465007577
UGC09992,0.0,0.06615871995095188,0.09800375524593195,0.02183430640946867,0.03234409648349707
UGC10310,0.0,0.09258753376505716,0.22432892733876922,0.012800353028721017,0.031013780664868092
UGC11455,0.0,0.34489285524944435,0.5468176059256246,0.0228718419797,0.036262641235067734
UGC11557,0.0,0.22612606848622324,0.21910565064121446,0.0358590451800638,0.03474574814902099
